booking_date,value_date,amount,currency,counterparty,memo,reference,balance
2026-01-25,2026-01-25,-44.24,CHF,Throughput Vendor 24 AG,Throughput payment 24,THR-24,50024.24
2026-01-26,2026-01-26,1025.25,CHF,Throughput Vendor 25 AG,Throughput payment 25,THR-25,50025.25
2026-01-27,2026-01-27,-46.26,CHF,Throughput Vendor 26 AG,Throughput payment 26,THR-26,50026.26
2026-01-28,2026-01-28,-47.27,CHF,Throughput Vendor 27 AG,Throughput payment 27,THR-27,50027.27
2026-02-01,2026-02-01,-48.28,CHF,Throughput Vendor 28 AG,Throughput payment 28,THR-28,50028.28
2026-02-02,2026-02-02,-49.29,CHF,Throughput Vendor 29 AG,Throughput payment 29,THR-29,50029.29
2026-02-03,2026-02-03,1030.30,CHF,Throughput Vendor 30 AG,Throughput payment 30,THR-30,50030.30
2026-02-04,2026-02-04,-51.31,CHF,Throughput Vendor 31 AG,Throughput payment 31,THR-31,50031.31
2026-02-05,2026-02-05,-52.32,CHF,Throughput Vendor 32 AG,Throughput payment 32,THR-32,50032.32
2026-02-06,2026-02-06,-53.33,CHF,Throughput Vendor 33 AG,Throughput payment 33,THR-33,50033.33
2026-02-07,2026-02-07,-54.34,CHF,Throughput Vendor 34 AG,Throughput payment 34,THR-34,50034.34
2026-02-08,2026-02-08,1035.35,CHF,Throughput Vendor 35 AG,Throughput payment 35,THR-35,50035.35
2026-02-09,2026-02-09,-56.36,CHF,Throughput Vendor 36 AG,Throughput payment 36,THR-36,50036.36
2026-02-10,2026-02-10,-57.37,CHF,Throughput Vendor 37 AG,Throughput payment 37,THR-37,50037.37
2026-02-11,2026-02-11,-58.38,CHF,Throughput Vendor 38 AG,Throughput payment 38,THR-38,50038.38
2026-02-12,2026-02-12,-59.39,CHF,Throughput Vendor 39 AG,Throughput payment 39,THR-39,50039.39
2026-02-13,2026-02-13,1040.40,CHF,Throughput Vendor 40 AG,Throughput payment 40,THR-40,50040.40
2026-02-14,2026-02-14,-61.41,CHF,Throughput Vendor 41 AG,Throughput payment 41,THR-41,50041.41
2026-02-15,2026-02-15,-62.42,CHF,Throughput Vendor 42 AG,Throughput payment 42,THR-42,50042.42
2026-02-16,2026-02-16,-63.43,CHF,Throughput Vendor 43 AG,Throughput payment 43,THR-43,50043.43
2026-02-17,2026-02-17,-64.44,CHF,Throughput Vendor 44 AG,Throughput payment 44,THR-44,50044.44
2026-02-18,2026-02-18,1045.45,CHF,Throughput Vendor 45 AG,Throughput payment 45,THR-45,50045.45
2026-02-19,2026-02-19,-66.46,CHF,Throughput Vendor 46 AG,Throughput payment 46,THR-46,50046.46
2026-02-20,2026-02-20,-67.47,CHF,Throughput Vendor 47 AG,Throughput payment 47,THR-47,50047.47
2026-02-21,2026-02-21,-68.48,CHF,Throughput Vendor 48 AG,Throughput payment 48,THR-48,50048.48
2026-02-22,2026-02-22,-69.49,CHF,Throughput Vendor 49 AG,Throughput payment 49,THR-49,50049.49
2026-02-23,2026-02-23,1050.50,CHF,Throughput Vendor 50 AG,Throughput payment 50,THR-50,50050.50
2026-02-24,2026-02-24,-71.51,CHF,Throughput Vendor 51 AG,Throughput payment 51,THR-51,50051.51
2026-02-25,2026-02-25,-72.52,CHF,Throughput Vendor 52 AG,Throughput payment 52,THR-52,50052.52
2026-02-26,2026-02-26,-73.53,CHF,Throughput Vendor 53 AG,Throughput payment 53,THR-53,50053.53
2026-02-27,2026-02-27,-74.54,CHF,Throughput Vendor 54 AG,Throughput payment 54,THR-54,50054.54
2026-02-28,2026-02-28,1055.55,CHF,Throughput Vendor 55 AG,Throughput payment 55,THR-55,50055.55
2026-03-01,2026-03-01,-76.56,CHF,Throughput Vendor 56 AG,Throughput payment 56,THR-56,50056.56
2026-03-02,2026-03-02,-77.57,CHF,Throughput Vendor 57 AG,Throughput payment 57,THR-57,50057.57
2026-03-03,2026-03-03,-78.58,CHF,Throughput Vendor 58 AG,Throughput payment 58,THR-58,50058.58
2026-03-04,2026-03-04,-79.59,CHF,Throughput Vendor 59 AG,Throughput payment 59,THR-59,50059.59
2026-03-05,2026-03-05,1060.60,CHF,Throughput Vendor 60 AG,Throughput payment 60,THR-60,50060.60
2026-03-06,2026-03-06,-81.61,CHF,Throughput Vendor 61 AG,Throughput payment 61,THR-61,50061.61
2026-03-07,2026-03-07,-82.62,CHF,Throughput Vendor 62 AG,Throughput payment 62,THR-62,50062.62
2026-03-08,2026-03-08,-83.63,CHF,Throughput Vendor 63 AG,Throughput payment 63,THR-63,50063.63
2026-03-09,2026-03-09,-84.64,CHF,Throughput Vendor 64 AG,Throughput payment 64,THR-64,50064.64
2026-03-10,2026-03-10,1065.65,CHF,Throughput Vendor 65 AG,Throughput payment 65,THR-65,50065.65
2026-03-11,2026-03-11,-86.66,CHF,Throughput Vendor 66 AG,Throughput payment 66,THR-66,50066.66
2026-03-12,2026-03-12,-87.67,CHF,Throughput Vendor 67 AG,Throughput payment 67,THR-67,50067.67
2026-03-13,2026-03-13,-88.68,CHF,Throughput Vendor 68 AG,Throughput payment 68,THR-68,50068.68
2026-03-14,2026-03-14,-89.69,CHF,Throughput Vendor 69 AG,Throughput payment 69,THR-69,50069.69
2026-03-15,2026-03-15,1070.70,CHF,Throughput Vendor 70 AG,Throughput payment 70,THR-70,50070.70
2026-03-16,2026-03-16,-91.71,CHF,Throughput Vendor 71 AG,Throughput payment 71,THR-71,50071.71
2026-03-17,2026-03-17,-92.72,CHF,Throughput Vendor 72 AG,Throughput payment 72,THR-72,50072.72
2026-03-18,2026-03-18,-93.73,CHF,Throughput Vendor 73 AG,Throughput payment 73,THR-73,50073.73
2026-03-19,2026-03-19,-94.74,CHF,Throughput Vendor 74 AG,Throughput payment 74,THR-74,50074.74
2026-03-20,2026-03-20,1075.75,CHF,Throughput Vendor 75 AG,Throughput payment 75,THR-75,50075.75
2026-03-21,2026-03-21,-96.76,CHF,Throughput Vendor 76 AG,Throughput payment 76,THR-76,50076.76
2026-03-22,2026-03-22,-97.77,CHF,Throughput Vendor 77 AG,Throughput payment 77,THR-77,50077.77
2026-03-23,2026-03-23,-98.78,CHF,Throughput Vendor 78 AG,Throughput payment 78,THR-78,50078.78
2026-03-24,2026-03-24,-99.79,CHF,Throughput Vendor 79 AG,Throughput payment 79,THR-79,50079.79
2026-03-25,2026-03-25,1080.80,CHF,Throughput Vendor 0 AG,Throughput payment 80,THR-80,50080.80
2026-03-26,2026-03-26,-101.81,CHF,Throughput Vendor 1 AG,Throughput payment 81,THR-81,50081.81
2026-03-27,2026-03-27,-102.82,CHF,Throughput Vendor 2 AG,Throughput payment 82,THR-82,50082.82
2026-03-28,2026-03-28,-103.83,CHF,Throughput Vendor 3 AG,Throughput payment 83,THR-83,50083.83
2026-04-01,2026-04-01,-104.84,CHF,Throughput Vendor 4 AG,Throughput payment 84,THR-84,50084.84
2026-04-02,2026-04-02,1085.85,CHF,Throughput Vendor 5 AG,Throughput payment 85,THR-85,50085.85
2026-04-03,2026-04-03,-106.86,CHF,Throughput Vendor 6 AG,Throughput payment 86,THR-86,50086.86
2026-04-04,2026-04-04,-107.87,CHF,Throughput Vendor 7 AG,Throughput payment 87,THR-87,50087.87
2026-04-05,2026-04-05,-108.88,CHF,Throughput Vendor 8 AG,Throughput payment 88,THR-88,50088.88
2026-04-06,2026-04-06,-109.89,CHF,Throughput Vendor 9 AG,Throughput payment 89,THR-89,50089.89
2026-04-07,2026-04-07,1090.90,CHF,Throughput Vendor 10 AG,Throughput payment 90,THR-90,50090.90
2026-04-08,2026-04-08,-111.91,CHF,Throughput Vendor 11 AG,Throughput payment 91,THR-91,50091.91
2026-04-09,2026-04-09,-112.92,CHF,Throughput Vendor 12 AG,Throughput payment 92,THR-92,50092.92
2026-04-10,2026-04-10,-113.93,CHF,Throughput Vendor 13 AG,Throughput payment 93,THR-93,50093.93
2026-04-11,2026-04-11,-114.94,CHF,Throughput Vendor 14 AG,Throughput payment 94,THR-94,50094.94
2026-04-12,2026-04-12,1095.95,CHF,Throughput Vendor 15 AG,Throughput payment 95,THR-95,50095.95
2026-04-13,2026-04-13,-116.96,CHF,Throughput Vendor 16 AG,Throughput payment 96,THR-96,50096.96
2026-04-14,2026-04-14,-117.97,CHF,Throughput Vendor 17 AG,Throughput payment 97,THR-97,50097.97
2026-04-15,2026-04-15,-118.98,CHF,Throughput Vendor 18 AG,Throughput payment 98,THR-98,50098.98
2026-04-16,2026-04-16,-119.99,CHF,Throughput Vendor 19 AG,Throughput payment 99,THR-99,50099.99
2026-04-17,2026-04-17,1100.00,CHF,Throughput Vendor 20 AG,Throughput payment 100,THR-100,50100.00
2026-04-18,2026-04-18,-121.01,CHF,Throughput Vendor 21 AG,Throughput payment 101,THR-101,50101.01
2026-04-19,2026-04-19,-122.02,CHF,Throughput Vendor 22 AG,Throughput payment 102,THR-102,50102.02
2026-04-20,2026-04-20,-123.03,CHF,Throughput Vendor 23 AG,Throughput payment 103,THR-103,50103.03
2026-04-21,2026-04-21,-124.04,CHF,Throughput Vendor 24 AG,Throughput payment 104,THR-104,50104.04
2026-04-22,2026-04-22,1105.05,CHF,Throughput Vendor 25 AG,Throughput payment 105,THR-105,50105.05
2026-04-23,2026-04-23,-126.06,CHF,Throughput Vendor 26 AG,Throughput payment 106,THR-106,50106.06
2026-04-24,2026-04-24,-127.07,CHF,Throughput Vendor 27 AG,Throughput payment 107,THR-107,50107.07
2026-04-25,2026-04-25,-128.08,CHF,Throughput Vendor 28 AG,Throughput payment 108,THR-108,50108.08
2026-04-26,2026-04-26,-129.09,CHF,Throughput Vendor 29 AG,Throughput payment 109,THR-109,50109.09
2026-04-27,2026-04-27,1110.10,CHF,Throughput Vendor 30 AG,Throughput payment 110,THR-110,50110.10
2026-04-28,2026-04-28,-131.11,CHF,Throughput Vendor 31 AG,Throughput payment 111,THR-111,50111.11
2026-05-01,2026-05-01,-132.12,CHF,Throughput Vendor 32 AG,Throughput payment 112,THR-112,50112.12
2026-05-02,2026-05-02,-133.13,CHF,Throughput Vendor 33 AG,Throughput payment 113,THR-113,50113.13
2026-05-03,2026-05-03,-134.14,CHF,Throughput Vendor 34 AG,Throughput payment 114,THR-114,50114.14
2026-05-04,2026-05-04,1115.15,CHF,Throughput Vendor 35 AG,Throughput payment 115,THR-115,50115.15
2026-05-05,2026-05-05,-136.16,CHF,Throughput Vendor 36 AG,Throughput payment 116,THR-116,50116.16
2026-05-06,2026-05-06,-137.17,CHF,Throughput Vendor 37 AG,Throughput payment 117,THR-117,50117.17
2026-05-07,2026-05-07,-138.18,CHF,Throughput Vendor 38 AG,Throughput payment 118,THR-118,50118.18
2026-05-08,2026-05-08,-139.19,CHF,Throughput Vendor 39 AG,Throughput payment 119,THR-119,50119.19
2026-05-09,2026-05-09,1120.20,CHF,Throughput Vendor 40 AG,Throughput payment 120,THR-120,50120.20
2026-05-10,2026-05-10,-141.21,CHF,Throughput Vendor 41 AG,Throughput payment 121,THR-121,50121.21
2026-05-11,2026-05-11,-142.22,CHF,Throughput Vendor 42 AG,Throughput payment 122,THR-122,50122.22
2026-05-12,2026-05-12,-143.23,CHF,Throughput Vendor 43 AG,Throughput payment 123,THR-123,50123.23
2026-05-13,2026-05-13,-144.24,CHF,Throughput Vendor 44 AG,Throughput payment 124,THR-124,50124.24
2026-05-14,2026-05-14,1125.25,CHF,Throughput Vendor 45 AG,Throughput payment 125,THR-125,50125.25
2026-05-15,2026-05-15,-146.26,CHF,Throughput Vendor 46 AG,Throughput payment 126,THR-126,50126.26
2026-05-16,2026-05-16,-147.27,CHF,Throughput Vendor 47 AG,Throughput payment 127,THR-127,50127.27
2026-05-17,2026-05-17,-148.28,CHF,Throughput Vendor 48 AG,Throughput payment 128,THR-128,50128.28
2026-05-18,2026-05-18,-149.29,CHF,Throughput Vendor 49 AG,Throughput payment 129,THR-129,50129.29
2026-05-19,2026-05-19,1130.30,CHF,Throughput Vendor 50 AG,Throughput payment 130,THR-130,50130.30
2026-05-20,2026-05-20,-151.31,CHF,Throughput Vendor 51 AG,Throughput payment 131,THR-131,50131.31
2026-05-21,2026-05-21,-152.32,CHF,Throughput Vendor 52 AG,Throughput payment 132,THR-132,50132.32
2026-05-22,2026-05-22,-153.33,CHF,Throughput Vendor 53 AG,Throughput payment 133,THR-133,50133.33
2026-05-23,2026-05-23,-154.34,CHF,Throughput Vendor 54 AG,Throughput payment 134,THR-134,50134.34
2026-05-24,2026-05-24,1135.35,CHF,Throughput Vendor 55 AG,Throughput payment 135,THR-135,50135.35
2026-05-25,2026-05-25,-156.36,CHF,Throughput Vendor 56 AG,Throughput payment 136,THR-136,50136.36
2026-05-26,2026-05-26,-157.37,CHF,Throughput Vendor 57 AG,Throughput payment 137,THR-137,50137.37
2026-05-27,2026-05-27,-158.38,CHF,Throughput Vendor 58 AG,Throughput payment 138,THR-138,50138.38
2026-05-28,2026-05-28,-159.39,CHF,Throughput Vendor 59 AG,Throughput payment 139,THR-139,50139.39
2026-06-01,2026-06-01,1140.40,CHF,Throughput Vendor 60 AG,Throughput payment 140,THR-140,50140.40
2026-06-02,2026-06-02,-161.41,CHF,Throughput Vendor 61 AG,Throughput payment 141,THR-141,50141.41
2026-06-03,2026-06-03,-162.42,CHF,Throughput Vendor 62 AG,Throughput payment 142,THR-142,50142.42
2026-06-04,2026-06-04,-163.43,CHF,Throughput Vendor 63 AG,Throughput payment 143,THR-143,50143.43
2026-06-05,2026-06-05,-164.44,CHF,Throughput Vendor 64 AG,Throughput payment 144,THR-144,50144.44
2026-06-06,2026-06-06,1145.45,CHF,Throughput Vendor 65 AG,Throughput payment 145,THR-145,50145.45
2026-06-07,2026-06-07,-166.46,CHF,Throughput Vendor 66 AG,Throughput payment 146,THR-146,50146.46
2026-06-08,2026-06-08,-167.47,CHF,Throughput Vendor 67 AG,Throughput payment 147,THR-147,50147.47
2026-06-09,2026-06-09,-168.48,CHF,Throughput Vendor 68 AG,Throughput payment 148,THR-148,50148.48
2026-06-10,2026-06-10,-169.49,CHF,Throughput Vendor 69 AG,Throughput payment 149,THR-149,50149.49
2026-06-11,2026-06-11,1150.50,CHF,Throughput Vendor 70 AG,Throughput payment 150,THR-150,50150.50
2026-06-12,2026-06-12,-171.51,CHF,Throughput Vendor 71 AG,Throughput payment 151,THR-151,50151.51
2026-06-13,2026-06-13,-172.52,CHF,Throughput Vendor 72 AG,Throughput payment 152,THR-152,50152.52
2026-06-14,2026-06-14,-173.53,CHF,Throughput Vendor 73 AG,Throughput payment 153,THR-153,50153.53
2026-06-15,2026-06-15,-174.54,CHF,Throughput Vendor 74 AG,Throughput payment 154,THR-154,50154.54
2026-06-16,2026-06-16,1155.55,CHF,Throughput Vendor 75 AG,Throughput payment 155,THR-155,50155.55
2026-06-17,2026-06-17,-176.56,CHF,Throughput Vendor 76 AG,Throughput payment 156,THR-156,50156.56
2026-06-18,2026-06-18,-177.57,CHF,Throughput Vendor 77 AG,Throughput payment 157,THR-157,50157.57
2026-06-19,2026-06-19,-178.58,CHF,Throughput Vendor 78 AG,Throughput payment 158,THR-158,50158.58
2026-06-20,2026-06-20,-179.59,CHF,Throughput Vendor 79 AG,Throughput payment 159,THR-159,50159.59
2026-06-21,2026-06-21,1160.60,CHF,Throughput Vendor 0 AG,Throughput payment 160,THR-160,50160.60
2026-06-22,2026-06-22,-181.61,CHF,Throughput Vendor 1 AG,Throughput payment 161,THR-161,50161.61
2026-06-23,2026-06-23,-182.62,CHF,Throughput Vendor 2 AG,Throughput payment 162,THR-162,50162.62
2026-06-24,2026-06-24,-183.63,CHF,Throughput Vendor 3 AG,Throughput payment 163,THR-163,50163.63
2026-06-25,2026-06-25,-184.64,CHF,Throughput Vendor 4 AG,Throughput payment 164,THR-164,50164.64
2026-06-26,2026-06-26,1165.65,CHF,Throughput Vendor 5 AG,Throughput payment 165,THR-165,50165.65
2026-06-27,2026-06-27,-186.66,CHF,Throughput Vendor 6 AG,Throughput payment 166,THR-166,50166.66
2026-06-28,2026-06-28,-187.67,CHF,Throughput Vendor 7 AG,Throughput payment 167,THR-167,50167.67
2026-07-01,2026-07-01,-188.68,CHF,Throughput Vendor 8 AG,Throughput payment 168,THR-168,50168.68
2026-07-02,2026-07-02,-189.69,CHF,Throughput Vendor 9 AG,Throughput payment 169,THR-169,50169.69
2026-07-03,2026-07-03,1170.70,CHF,Throughput Vendor 10 AG,Throughput payment 170,THR-170,50170.70
2026-07-04,2026-07-04,-191.71,CHF,Throughput Vendor 11 AG,Throughput payment 171,THR-171,50171.71
2026-07-05,2026-07-05,-192.72,CHF,Throughput Vendor 12 AG,Throughput payment 172,THR-172,50172.72
2026-07-06,2026-07-06,-193.73,CHF,Throughput Vendor 13 AG,Throughput payment 173,THR-173,50173.73
2026-07-07,2026-07-07,-194.74,CHF,Throughput Vendor 14 AG,Throughput payment 174,THR-174,50174.74
2026-07-08,2026-07-08,1175.75,CHF,Throughput Vendor 15 AG,Throughput payment 175,THR-175,50175.75
2026-07-09,2026-07-09,-196.76,CHF,Throughput Vendor 16 AG,Throughput payment 176,THR-176,50176.76
2026-07-10,2026-07-10,-197.77,CHF,Throughput Vendor 17 AG,Throughput payment 177,THR-177,50177.77
2026-07-11,2026-07-11,-198.78,CHF,Throughput Vendor 18 AG,Throughput payment 178,THR-178,50178.78
2026-07-12,2026-07-12,-199.79,CHF,Throughput Vendor 19 AG,Throughput payment 179,THR-179,50179.79
2026-07-13,2026-07-13,1180.80,CHF,Throughput Vendor 20 AG,Throughput payment 180,THR-180,50180.80
2026-07-14,2026-07-14,-21.81,CHF,Throughput Vendor 21 AG,Throughput payment 181,THR-181,50181.81
2026-07-15,2026-07-15,-22.82,CHF,Throughput Vendor 22 AG,Throughput payment 182,THR-182,50182.82
2026-07-16,2026-07-16,-23.83,CHF,Throughput Vendor 23 AG,Throughput payment 183,THR-183,50183.83
2026-07-17,2026-07-17,-24.84,CHF,Throughput Vendor 24 AG,Throughput payment 184,THR-184,50184.84
2026-07-18,2026-07-18,1185.85,CHF,Throughput Vendor 25 AG,Throughput payment 185,THR-185,50185.85
2026-07-19,2026-07-19,-26.86,CHF,Throughput Vendor 26 AG,Throughput payment 186,THR-186,50186.86
2026-07-20,2026-07-20,-27.87,CHF,Throughput Vendor 27 AG,Throughput payment 187,THR-187,50187.87
2026-07-21,2026-07-21,-28.88,CHF,Throughput Vendor 28 AG,Throughput payment 188,THR-188,50188.88
2026-07-22,2026-07-22,-29.89,CHF,Throughput Vendor 29 AG,Throughput payment 189,THR-189,50189.89
2026-07-23,2026-07-23,1190.90,CHF,Throughput Vendor 30 AG,Throughput payment 190,THR-190,50190.90
2026-07-24,2026-07-24,-31.91,CHF,Throughput Vendor 31 AG,Throughput payment 191,THR-191,50191.91
2026-07-25,2026-07-25,-32.92,CHF,Throughput Vendor 32 AG,Throughput payment 192,THR-192,50192.92
2026-07-26,2026-07-26,-33.93,CHF,Throughput Vendor 33 AG,Throughput payment 193,THR-193,50193.93
2026-07-27,2026-07-27,-34.94,CHF,Throughput Vendor 34 AG,Throughput payment 194,THR-194,50194.94
2026-07-28,2026-07-28,1195.95,CHF,Throughput Vendor 35 AG,Throughput payment 195,THR-195,50195.95
2026-08-01,2026-08-01,-36.96,CHF,Throughput Vendor 36 AG,Throughput payment 196,THR-196,50196.96
2026-08-02,2026-08-02,-37.97,CHF,Throughput Vendor 37 AG,Throughput payment 197,THR-197,50197.97
2026-08-03,2026-08-03,-38.98,CHF,Throughput Vendor 38 AG,Throughput payment 198,THR-198,50198.98
2026-08-04,2026-08-04,-39.99,CHF,Throughput Vendor 39 AG,Throughput payment 199,THR-199,50199.99
2026-08-05,2026-08-05,1200.00,CHF,Throughput Vendor 40 AG,Throughput payment 200,THR-200,50200.00
2026-08-06,2026-08-06,-41.01,CHF,Throughput Vendor 41 AG,Throughput payment 201,THR-201,50201.01
2026-08-07,2026-08-07,-42.02,CHF,Throughput Vendor 42 AG,Throughput payment 202,THR-202,50202.02
2026-08-08,2026-08-08,-43.03,CHF,Throughput Vendor 43 AG,Throughput payment 203,THR-203,50203.03
2026-08-09,2026-08-09,-44.04,CHF,Throughput Vendor 44 AG,Throughput payment 204,THR-204,50204.04
2026-08-10,2026-08-10,1205.05,CHF,Throughput Vendor 45 AG,Throughput payment 205,THR-205,50205.05
2026-08-11,2026-08-11,-46.06,CHF,Throughput Vendor 46 AG,Throughput payment 206,THR-206,50206.06
2026-08-12,2026-08-12,-47.07,CHF,Throughput Vendor 47 AG,Throughput payment 207,THR-207,50207.07
2026-08-13,2026-08-13,-48.08,CHF,Throughput Vendor 48 AG,Throughput payment 208,THR-208,50208.08
2026-08-14,2026-08-14,-49.09,CHF,Throughput Vendor 49 AG,Throughput payment 209,THR-209,50209.09
2026-08-15,2026-08-15,1210.10,CHF,Throughput Vendor 50 AG,Throughput payment 210,THR-210,50210.10
2026-08-16,2026-08-16,-51.11,CHF,Throughput Vendor 51 AG,Throughput payment 211,THR-211,50211.11
2026-08-17,2026-08-17,-52.12,CHF,Throughput Vendor 52 AG,Throughput payment 212,THR-212,50212.12
2026-08-18,2026-08-18,-53.13,CHF,Throughput Vendor 53 AG,Throughput payment 213,THR-213,50213.13
2026-08-19,2026-08-19,-54.14,CHF,Throughput Vendor 54 AG,Throughput payment 214,THR-214,50214.14
2026-08-20,2026-08-20,1215.15,CHF,Throughput Vendor 55 AG,Throughput payment 215,THR-215,50215.15
2026-08-21,2026-08-21,-56.16,CHF,Throughput Vendor 56 AG,Throughput payment 216,THR-216,50216.16
2026-08-22,2026-08-22,-57.17,CHF,Throughput Vendor 57 AG,Throughput payment 217,THR-217,50217.17
2026-08-23,2026-08-23,-58.18,CHF,Throughput Vendor 58 AG,Throughput payment 218,THR-218,50218.18
2026-08-24,2026-08-24,-59.19,CHF,Throughput Vendor 59 AG,Throughput payment 219,THR-219,50219.19
2026-08-25,2026-08-25,1220.20,CHF,Throughput Vendor 60 AG,Throughput payment 220,THR-220,50220.20
2026-08-26,2026-08-26,-61.21,CHF,Throughput Vendor 61 AG,Throughput payment 221,THR-221,50221.21
2026-08-27,2026-08-27,-62.22,CHF,Throughput Vendor 62 AG,Throughput payment 222,THR-222,50222.22
2026-08-28,2026-08-28,-63.23,CHF,Throughput Vendor 63 AG,Throughput payment 223,THR-223,50223.23
2026-09-01,2026-09-01,-64.24,CHF,Throughput Vendor 64 AG,Throughput payment 224,THR-224,50224.24
2026-09-02,2026-09-02,1225.25,CHF,Throughput Vendor 65 AG,Throughput payment 225,THR-225,50225.25
2026-09-03,2026-09-03,-66.26,CHF,Throughput Vendor 66 AG,Throughput payment 226,THR-226,50226.26
2026-09-04,2026-09-04,-67.27,CHF,Throughput Vendor 67 AG,Throughput payment 227,THR-227,50227.27
2026-09-05,2026-09-05,-68.28,CHF,Throughput Vendor 68 AG,Throughput payment 228,THR-228,50228.28
2026-09-06,2026-09-06,-69.29,CHF,Throughput Vendor 69 AG,Throughput payment 229,THR-229,50229.29
2026-09-07,2026-09-07,1230.30,CHF,Throughput Vendor 70 AG,Throughput payment 230,THR-230,50230.30
2026-09-08,2026-09-08,-71.31,CHF,Throughput Vendor 71 AG,Throughput payment 231,THR-231,50231.31
2026-09-09,2026-09-09,-72.32,CHF,Throughput Vendor 72 AG,Throughput payment 232,THR-232,50232.32
2026-09-10,2026-09-10,-73.33,CHF,Throughput Vendor 73 AG,Throughput payment 233,THR-233,50233.33
2026-09-11,2026-09-11,-74.34,CHF,Throughput Vendor 74 AG,Throughput payment 234,THR-234,50234.34
2026-09-12,2026-09-12,1235.35,CHF,Throughput Vendor 75 AG,Throughput payment 235,THR-235,50235.35
2026-09-13,2026-09-13,-76.36,CHF,Throughput Vendor 76 AG,Throughput payment 236,THR-236,50236.36
2026-09-14,2026-09-14,-77.37,CHF,Throughput Vendor 77 AG,Throughput payment 237,THR-237,50237.37
2026-09-15,2026-09-15,-78.38,CHF,Throughput Vendor 78 AG,Throughput payment 238,THR-238,50238.38
2026-09-16,2026-09-16,-79.39,CHF,Throughput Vendor 79 AG,Throughput payment 239,THR-239,50239.39
2026-09-17,2026-09-17,1240.40,CHF,Throughput Vendor 0 AG,Throughput payment 240,THR-240,50240.40
2026-09-18,2026-09-18,-81.41,CHF,Throughput Vendor 1 AG,Throughput payment 241,THR-241,50241.41
2026-09-19,2026-09-19,-82.42,CHF,Throughput Vendor 2 AG,Throughput payment 242,THR-242,50242.42
2026-09-20,2026-09-20,-83.43,CHF,Throughput Vendor 3 AG,Throughput payment 243,THR-243,50243.43
2026-09-21,2026-09-21,-84.44,CHF,Throughput Vendor 4 AG,Throughput payment 244,THR-244,50244.44
2026-09-22,2026-09-22,1245.45,CHF,Throughput Vendor 5 AG,Throughput payment 245,THR-245,50245.45
2026-09-23,2026-09-23,-86.46,CHF,Throughput Vendor 6 AG,Throughput payment 246,THR-246,50246.46
2026-09-24,2026-09-24,-87.47,CHF,Throughput Vendor 7 AG,Throughput payment 247,THR-247,50247.47
